#Gene	CanonicalTranscript
ACTA2	ENST00000224784.10
ACTC1	ENST00000290378.6
ACVRL1	ENST00000388922.9
APC	ENST00000257430.9
APOB	ENST00000233242.5
ATP7B	ENST00000242839.10
BMPR1A	ENST00000372037.8
BRCA1	ENST00000357654.9
BRCA2	ENST00000544455.6
BTD	ENST00000643237.3
CACNA1S	ENST00000680059.1
CASQ2	ENST00000261448.6
COL3A1	ENST00000304636.9
DSC2	ENST00000280904.11
DSG2	ENST00000261590.13
DSP	ENST00000379802.8
ENG	ENST00000373203.9
FBN1	ENST00000316623.10
FLNC	ENST00000325888.13
GAA	ENST00000302262.8
GLA	ENST00000218516.4
HFE	ENST00000357618.10
HNF1A	ENST00000257555.11
KCNH2	ENST00000262186.10
KCNQ1	ENST00000155840.12
LDLR	ENST00000558518.6
LMNA	ENST00000675939.1
MAX	ENST00000358664.9
MEN1	ENST00000312049.11
MLH1	ENST00000231790.8
MSH2	ENST00000644092.1
MSH6	ENST00000234420.11
MUTYH	ENST00000354383.10
MYBPC3	ENST00000545968.6
MYH11	ENST00000300036.6
MYH7	ENST00000355349.4
MYL2	ENST00000228841.15
MYL3	ENST00000654597.1
NF2	ENST00000338641.10
OTC	ENST00000039007.5
PALB2	ENST00000261584.9
PKP2	ENST00000340811.9
PMS2	ENST00000265849.12
PRKAG2	ENST00000287878.9
PTEN	ENST00000706954.1
RB1	ENST00000267163.6
RET	ENST00000355710.8
RPE65	ENST00000262340.6
RYR1	ENST00000355481.8
RYR2	ENST00000366574.7
SCN5A	ENST00000413689.6
SDHAF2	ENST00000301761.7
SDHB	ENST00000375499.8
SDHC	ENST00000367975.7
SDHD	ENST00000375549.8
SMAD3	ENST00000327367.9
SMAD4	ENST00000398417.6
STK11	ENST00000326873.12
TGFBR1	ENST00000374994.9
TGFBR2	ENST00000295754.10
TMEM127	ENST00000258439.8
TMEM43	ENST00000306077.5
TNNI3	ENST00000344887.10
TNNT2	ENST00000660295.1
TP53	ENST00000269305.9
TPM1	ENST00000357980.9
TRDN	ENST00000546248.5
TSC1	ENST00000646625.1
TSC2	ENST00000350773.9
TTN	ENST00000589042.5
VHL	ENST00000256474.3
WT1	ENST00000639563.3
