#Gene	CanonicalTranscript
ABI1	ENST00000536334.5
ABL1	ENST00000372348.9
ABL2	ENST00000502732.6
ACD	ENST00000620761.6
ACKR3	ENST00000272928.4
ACSL3	ENST00000681906.1
ACSL6	ENST00000651883.2
ACTRT1	ENST00000371124.5
ACVR1	ENST00000434821.7
ACVR1B	ENST00000257963.9
ACVR2A	ENST00000241416.12
ADM	ENST00000278175.10
AFDN	ENST00000447894.6
AFF1	ENST00000674009.1
AFF3	ENST00000672756.2
AFF4	ENST00000265343.10
AIP	ENST00000279146.8
AKAP9	ENST00000680534.1
AKT1	ENST00000349310.7
AKT2	ENST00000392038.7
AKT3	ENST00000673466.1
ALDH2	ENST00000261733.7
ALK	ENST00000389048.8
AMER1	ENST00000374869.8
ANK1	ENST00000265709.14
ANKRD26	ENST00000376087.5
APC	ENST00000257430.9
APOB	ENST00000233242.5
APOBEC3B	ENST00000333467.4
AR	ENST00000374690.9
ARAF	ENST00000377045.9
ARHGAP26	ENST00000645722.2
ARHGAP35	ENST00000672722.1
ARHGAP5	ENST00000345122.8
ARHGEF10	ENST00000349830.8
ARHGEF10L	ENST00000375415.5
ARHGEF12	ENST00000397843.7
ARID1A	ENST00000374152.7
ARID1B	ENST00000346085.10
ARID2	ENST00000334344.11
ARNT	ENST00000358595.10
ASPSCR1	ENST00000306739.9
ASXL1	ENST00000375687.10
ASXL2	ENST00000435504.9
ATF1	ENST00000262053.8
ATIC	ENST00000236959.14
ATM	ENST00000675843.1
ATP1A1	ENST00000295598.10
ATP2B3	ENST00000263519.5
ATR	ENST00000350721.9
ATRX	ENST00000373344.11
AXIN1	ENST00000354866.7
AXIN2	ENST00000307078.10
B2M	ENST00000648006.3
BAP1	ENST00000460680.6
BARD1	ENST00000260947.9
BAX	ENST00000345358.12
BAZ1A	ENST00000360310.6
BCL10	ENST00000648566.1
BCL11A	ENST00000335712.11
BCL11B	ENST00000345514.2
BCL2	ENST00000398117.1
BCL2L12	ENST00000246785.7
BCL3	ENST00000164227.10
BCL6	ENST00000406870.7
BCL7A	ENST00000261822.5
BCL9	ENST00000234739.8
BCL9L	ENST00000683865.1
BCLAF1	ENST00000531224.6
BCOR	ENST00000672922.2
BCORL1	ENST00000540052.6
BCR	ENST00000305877.13
BIRC3	ENST00000615299.4
BIRC6	ENST00000421745.7
BLM	ENST00000355112.8
BMP5	ENST00000370830.4
BMPR1A	ENST00000372037.8
BRAF	ENST00000646891.2
